word,normalized_word,length,difficulty,category,source,is_active
"طائر","طائر",4,"easy","حيوانات","manual_approved",true
"دجاج","دجاج",4,"easy","حيوانات","manual_approved",true
"حمام","حمام",4,"easy","حيوانات","manual_approved",true
"سمكة","سمكة",4,"easy","حيوانات","manual_approved",true
"نحلة","نحلة",4,"easy","حيوانات","manual_approved",true
"نملة","نملة",4,"easy","حيوانات","manual_approved",true
"شجرة","شجرة",4,"easy","طبيعة","manual_approved",true
"زهرة","زهرة",4,"easy","طبيعة","manual_approved",true
"ورقة","ورقة",4,"easy","طبيعة","manual_approved",true
"غيمة","غيمة",4,"easy","طبيعة","manual_approved",true
"سحاب","سحاب",4,"easy","طبيعة","manual_approved",true
"نسيم","نسيم",4,"easy","طبيعة","manual_approved",true
"نجمة","نجمة",4,"easy","طبيعة","manual_approved",true
"تربة","تربة",4,"easy","طبيعة","manual_approved",true
"صخرة","صخرة",4,"easy","طبيعة","manual_approved",true
"وادي","وادي",4,"easy","طبيعة","manual_approved",true
"غابة","غابة",4,"easy","طبيعة","manual_approved",true
"منزل","منزل",4,"easy","عام","manual_approved",true
"غرفة","غرفة",4,"easy","عام","manual_approved",true
"مطبخ","مطبخ",4,"easy","عام","manual_approved",true
"مخزن","مخزن",4,"easy","عام","manual_approved",true
"شارع","شارع",4,"easy","عام","manual_approved",true
"طريق","طريق",4,"easy","عام","manual_approved",true
"متجر","متجر",4,"easy","عام","manual_approved",true
"قرية","قرية",4,"easy","عام","manual_approved",true
"مسجد","مسجد",4,"easy","عام","manual_approved",true
"ملعب","ملعب",4,"easy","عام","manual_approved",true
"مكتب","مكتب",4,"easy","عام","manual_approved",true
"ساعة","ساعة",4,"easy","أدوات","manual_approved",true
"هاتف","هاتف",4,"easy","تقنية","manual_approved",true
"جهاز","جهاز",4,"easy","تقنية","manual_approved",true
"شاشة","شاشة",4,"easy","تقنية","manual_approved",true
"لوحة","لوحة",4,"easy","أدوات","manual_approved",true
"علبة","علبة",4,"easy","أدوات","manual_approved",true
"طبيب","طبيب",4,"easy","مهن","manual_approved",true
"معلم","معلم",4,"easy","مهن","manual_approved",true
"خباز","خباز",4,"easy","مهن","manual_approved",true
"طباخ","طباخ",4,"easy","مهن","manual_approved",true
"حارس","حارس",4,"easy","مهن","manual_approved",true
"عامل","عامل",4,"easy","مهن","manual_approved",true
"فلاح","فلاح",4,"easy","مهن","manual_approved",true
"بائع","بائع",4,"easy","مهن","manual_approved",true
"سائق","سائق",4,"easy","مهن","manual_approved",true
"كاتب","كاتب",4,"easy","مهن","manual_approved",true
"رسام","رسام",4,"easy","مهن","manual_approved",true
"نجار","نجار",4,"easy","مهن","manual_approved",true
"حداد","حداد",4,"easy","مهن","manual_approved",true
"بحار","بحار",4,"easy","مهن","manual_approved",true
"موقع","موقع",4,"easy","تقنية","manual_approved",true
"بريد","بريد",4,"easy","تقنية","manual_approved",true
"شبكة","شبكة",4,"easy","تقنية","manual_approved",true
"صورة","صورة",4,"easy","تقنية","manual_approved",true
"لعبة","لعبة",4,"easy","عام","manual_approved",true
"هدية","هدية",4,"easy","عام","manual_approved",true
"رحلة","رحلة",4,"easy","عام","manual_approved",true
"حوار","حوار",4,"easy","تعليم","manual_approved",true
"مجلة","مجلة",4,"easy","تعليم","manual_approved",true
"فكرة","فكرة",4,"easy","تعليم","manual_approved",true
"سلام","سلام",4,"easy","عام","manual_approved",true
"نشيد","نشيد",4,"easy","عام","manual_approved",true
"حائط","حائط",4,"easy","عام","manual_approved",true
"سماء","سماء",4,"easy","طبيعة","manual_approved",true
"هواء","هواء",4,"easy","طبيعة","manual_approved",true
"ربيع","ربيع",4,"easy","طبيعة","manual_approved",true
"خريف","خريف",4,"easy","طبيعة","manual_approved",true
"شتاء","شتاء",4,"easy","طبيعة","manual_approved",true
"زجاج","زجاج",4,"easy","أدوات","manual_approved",true
"خشبة","خشبة",4,"easy","أدوات","manual_approved",true
"معدن","معدن",4,"easy","أدوات","manual_approved",true
"قماش","قماش",4,"easy","أدوات","manual_approved",true
"ورشة","ورشة",4,"easy","عام","manual_approved",true
"مطار","مطار",4,"easy","عام","manual_approved",true
"محطة","محطة",4,"easy","عام","manual_approved",true
"دكان","دكان",4,"easy","عام","manual_approved",true
"ساحة","ساحة",4,"easy","عام","manual_approved",true
"مدرسة","مدرسة",5,"medium","تعليم","manual_approved",true
"مكتبة","مكتبة",5,"medium","تعليم","manual_approved",true
"سيارة","سيارة",5,"medium","عام","manual_approved",true
"طائرة","طائرة",5,"medium","عام","manual_approved",true
"حديقة","حديقة",5,"medium","طبيعة","manual_approved",true
"مدينة","مدينة",5,"medium","عام","manual_approved",true
"جزيرة","جزيرة",5,"medium","طبيعة","manual_approved",true
"بحيرة","بحيرة",5,"medium","طبيعة","manual_approved",true
"حقيبة","حقيبة",5,"medium","أدوات","manual_approved",true
"مصباح","مصباح",5,"medium","أدوات","manual_approved",true
"مفتاح","مفتاح",5,"medium","أدوات","manual_approved",true
"مسمار","مسمار",5,"medium","أدوات","manual_approved",true
"مطرقة","مطرقة",5,"medium","أدوات","manual_approved",true
"ملعقة","ملعقة",5,"medium","أدوات","manual_approved",true
"مقلاة","مقلاة",5,"medium","أدوات","manual_approved",true
"صندوق","صندوق",5,"medium","أدوات","manual_approved",true
"فرشاة","فرشاة",5,"medium","أدوات","manual_approved",true
"زرافة","زرافة",5,"medium","حيوانات","manual_approved",true
"بطريق","بطريق",5,"medium","حيوانات","manual_approved",true
"عصفور","عصفور",5,"medium","حيوانات","manual_approved",true
"تمساح","تمساح",5,"medium","حيوانات","manual_approved",true
"فراشة","فراشة",5,"medium","حيوانات","manual_approved",true
"ارانب","ارانب",5,"medium","حيوانات","manual_approved",true
"دجاجة","دجاجة",5,"medium","حيوانات","manual_approved",true
"حمامة","حمامة",5,"medium","حيوانات","manual_approved",true
"نحلات","نحلات",5,"medium","حيوانات","manual_approved",true
"تفاحة","تفاحة",5,"medium","طعام","manual_approved",true
"ليمون","ليمون",5,"medium","طعام","manual_approved",true
"طماطم","طماطم",5,"medium","طعام","manual_approved",true
"بطاطا","بطاطا",5,"medium","طعام","manual_approved",true
"فطيرة","فطيرة",5,"medium","طعام","manual_approved",true
"شريحة","شريحة",5,"medium","طعام","manual_approved",true
"طالبة","طالبة",5,"medium","تعليم","manual_approved",true
"معلمة","معلمة",5,"medium","مهن","manual_approved",true
"طبيبة","طبيبة",5,"medium","مهن","manual_approved",true
"مهندس","مهندس",5,"medium","مهن","manual_approved",true
"مزارع","مزارع",5,"medium","مهن","manual_approved",true
"ممرضة","ممرضة",5,"medium","مهن","manual_approved",true
"طباخة","طباخة",5,"medium","مهن","manual_approved",true
"خياطة","خياطة",5,"medium","مهن","manual_approved",true
"صيادة","صيادة",5,"medium","مهن","manual_approved",true
"شرطية","شرطية",5,"medium","مهن","manual_approved",true
"بائعة","بائعة",5,"medium","مهن","manual_approved",true
"سائقة","سائقة",5,"medium","مهن","manual_approved",true
"فنانة","فنانة",5,"medium","مهن","manual_approved",true
"رسالة","رسالة",5,"medium","تعليم","manual_approved",true
"دفاتر","دفاتر",5,"medium","تعليم","manual_approved",true
"كراسة","كراسة",5,"medium","تعليم","manual_approved",true
"لوحات","لوحات",5,"medium","تعليم","manual_approved",true
"ارقام","ارقام",5,"medium","تعليم","manual_approved",true
"اشكال","اشكال",5,"medium","تعليم","manual_approved",true
"كلمات","كلمات",5,"medium","تعليم","manual_approved",true
"صفحات","صفحات",5,"medium","تعليم","manual_approved",true
"قاعدة","قاعدة",5,"medium","تعليم","manual_approved",true
"ازهار","ازهار",5,"medium","طبيعة","manual_approved",true
"اوراق","اوراق",5,"medium","طبيعة","manual_approved",true
"اغصان","اغصان",5,"medium","طبيعة","manual_approved",true
"كثبان","كثبان",5,"medium","طبيعة","manual_approved",true
"اشجار","اشجار",5,"medium","طبيعة","manual_approved",true
"صحراء","صحراء",5,"medium","طبيعة","manual_approved",true
"حاسوب","حاسوب",5,"medium","تقنية","manual_approved",true
"لوحية","لوحية",5,"medium","تقنية","manual_approved",true
"ملفات","ملفات",5,"medium","تقنية","manual_approved",true
"برامج","برامج",5,"medium","تقنية","manual_approved",true
"شبكات","شبكات",5,"medium","تقنية","manual_approved",true
"رسائل","رسائل",5,"medium","تقنية","manual_approved",true
"فيديو","فيديو",5,"medium","تقنية","manual_approved",true
"سماعة","سماعة",5,"medium","تقنية","manual_approved",true
"طابعة","طابعة",5,"medium","تقنية","manual_approved",true
"نافذة","نافذة",5,"medium","عام","manual_approved",true
"شرفات","شرفات",5,"medium","عام","manual_approved",true
"غسالة","غسالة",5,"medium","أدوات","manual_approved",true
"ثلاجة","ثلاجة",5,"medium","أدوات","manual_approved",true
"ستارة","ستارة",5,"medium","أدوات","manual_approved",true
"وسادة","وسادة",5,"medium","أدوات","manual_approved",true
"سجادة","سجادة",5,"medium","أدوات","manual_approved",true
"منضدة","منضدة",5,"medium","أدوات","manual_approved",true
"خزانة","خزانة",5,"medium","أدوات","manual_approved",true
"صابون","صابون",5,"medium","أدوات","manual_approved",true
"منشفة","منشفة",5,"medium","أدوات","manual_approved",true
"زجاجة","زجاجة",5,"medium","أدوات","manual_approved",true
"قنينة","قنينة",5,"medium","أدوات","manual_approved",true
"رائحة","رائحة",5,"medium","عام","manual_approved",true
"نظافة","نظافة",5,"medium","عام","manual_approved",true
"سعادة","سعادة",5,"medium","عام","manual_approved",true
"رياضة","رياضة",5,"medium","عام","manual_approved",true
"سباحة","سباحة",5,"medium","عام","manual_approved",true
"قراءة","قراءة",5,"medium","تعليم","manual_approved",true
"كتابة","كتابة",5,"medium","تعليم","manual_approved",true
"زيارة","زيارة",5,"medium","عام","manual_approved",true
"سينما","سينما",5,"medium","عام","manual_approved",true
"حطب","حطب",3,"easy","طبيعة","manual_approved",true
"مائدة","مائدة",5,"medium","أدوات","manual_approved",true
"بستان","بستان",5,"medium","طبيعة","manual_approved",true
"مسطرة","مسطرة",5,"medium","أدوات","manual_approved",true
"ممحاة","ممحاة",5,"medium","تعليم","manual_approved",true
"سفينة","سفينة",5,"medium","عام","manual_approved",true
"دراجة","دراجة",5,"medium","عام","manual_approved",true
"منارة","منارة",5,"medium","عام","manual_approved",true
"حافلة","حافلة",5,"medium","عام","manual_approved",true
"محفظة","محفظة",5,"medium","أدوات","manual_approved",true
